Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
589,Conservatory of Vocal/Instrumental Arts High,https://www.schooldigger.com/go/CA/schools/0181913888/school.aspx,Conservatory of Vocal/Instrumental Arts High District,https://www.schooldigger.com/go/CA/district/01819/search.aspx,12500 Campus Dr. Bldg. D,Oakland,https://www.schooldigger.com/go/CA/city/Oakland/search.aspx,94619,Alameda County,(510) 328-1119,9,12,Yes,Yes,No,No,74,4,18.50,0.55,0.58,0.00,0.05,0.23,0.01,0.01,0.11,67.7
590,Burbank High,https://www.schooldigger.com/go/CA/schools/0645000563/school.aspx,Burbank Unified,https://www.schooldigger.com/go/CA/district/06450/search.aspx,902 N. Third St.,Burbank,https://www.schooldigger.com/go/CA/city/Burbank/search.aspx,91502,Los Angeles County,(818) 558-4700,9,12,No,No,No,No,2556,105.6,24.20,0.42,0.03,0.00,0.10,0.26,0.00,0.04,0.57,67.7
591,Tulelake High,https://www.schooldigger.com/go/CA/schools/3994006623/school.aspx,Tulelake Basin Joint Unified,https://www.schooldigger.com/go/CA/district/39940/search.aspx,850 Main St.,Tulelake,https://www.schooldigger.com/go/CA/city/Tulelake/search.aspx,96134,Siskiyou County,(530) 667-2292,7,12,Yes,No,No,No,171,12.7,13.40,0.83,0.01,0.00,0.00,0.80,0.00,0.02,0.17,67.6
592,Yreka High,https://www.schooldigger.com/go/CA/schools/4341007027/school.aspx,Yreka Union High,https://www.schooldigger.com/go/CA/district/43410/search.aspx,400 Preece Way,Yreka,https://www.schooldigger.com/go/CA/city/Yreka/search.aspx,96097,Siskiyou County,(530) 842-2521,9,12,Yes,No,No,No,587,31.7,18.40,0.46,0.00,0.04,0.02,0.16,0.00,0.12,0.66,67.6
593,Liberty High,https://www.schooldigger.com/go/CA/schools/1954007994/school.aspx,Kern High,https://www.schooldigger.com/go/CA/district/19540/search.aspx,925 Jewetta Ave.,Bakersfield,https://www.schooldigger.com/go/CA/city/Bakersfield/search.aspx,93312,Kern County,(661) 587-0925,9,12,No,No,No,No,2114,79.9,26.40,0.28,0.03,0.01,0.05,0.38,0.00,0.03,0.49,67.4
594,Montclair High,https://www.schooldigger.com/go/CA/schools/0816000793/school.aspx,Chaffey Joint Union High,https://www.schooldigger.com/go/CA/district/08160/search.aspx,4725 Benito St.,Montclair,https://www.schooldigger.com/go/CA/city/Montclair/search.aspx,91763,San Bernardino County,(909) 621-6781,9,12,Yes,No,No,No,2882,120,24.00,0.87,0.01,0.00,0.05,0.88,0.00,0.01,0.04,67.4
595,Alder Grove Charter School 2,https://www.schooldigger.com/go/CA/schools/0207211593/school.aspx,Alder Grove Charter School 2 District,https://www.schooldigger.com/go/CA/district/02072/search.aspx,714 F St.,Eureka,https://www.schooldigger.com/go/CA/city/Eureka/search.aspx,95501,Humboldt County,(707) 268-0854,KG,12,Yes,Yes,No,No,477,25.4,18.70,0.68,0.01,0.03,0.00,0.12,0.00,0.15,0.70,67.3
596,Oroville High,https://www.schooldigger.com/go/CA/schools/2913004496/school.aspx,Oroville Union High,https://www.schooldigger.com/go/CA/district/29130/search.aspx,1535 Bridge St.,Oroville,https://www.schooldigger.com/go/CA/city/Oroville/search.aspx,95966,Butte County,(530) 538-2320,9,12,Yes,No,No,No,979,43.3,22.60,0.79,0.05,0.09,0.23,0.17,0.00,0.01,0.45,67.3
597,Aspire Vanguard College Preparatory Academy,https://www.schooldigger.com/go/CA/schools/0182612511/school.aspx,Aspire Vanguard College Preparatory Academy District,https://www.schooldigger.com/go/CA/district/01826/search.aspx,819 Sunset Ave.,Modesto,https://www.schooldigger.com/go/CA/city/Modesto/search.aspx,95351,Stanislaus County,(209) 521-3010,6,12,Yes,Yes,No,No,405,14,28.90,0.62,0.05,0.01,0.07,0.66,0.00,0.07,0.15,67.2
598,Fullerton Union High,https://www.schooldigger.com/go/CA/schools/1476001810/school.aspx,Fullerton Joint Union High,https://www.schooldigger.com/go/CA/district/14760/search.aspx,201 E. Chapman Ave.,Fullerton,https://www.schooldigger.com/go/CA/city/Fullerton/search.aspx,92832,Orange County,(714) 626-3801,9,12,Yes,No,Yes,No,1979,71.4,27.70,0.51,0.02,0.00,0.08,0.66,0.00,0.03,0.20,67.1
599,Monterey Trail High,https://www.schooldigger.com/go/CA/schools/1233011061/school.aspx,Elk Grove Unified,https://www.schooldigger.com/go/CA/district/12330/search.aspx,8661 Power Inn Rd.,Elk Grove,https://www.schooldigger.com/go/CA/city/Elk+Grove/search.aspx,95624,Sacramento County,(916) 688-0050,9,12,Yes,No,No,No,2288,102.5,22.30,0.65,0.15,0.01,0.43,0.25,0.03,0.06,0.06,67.1
600,Public Safety Academy,https://www.schooldigger.com/go/CA/schools/0211511108/school.aspx,Public Safety Academy District,https://www.schooldigger.com/go/CA/district/02115/search.aspx,1482 E. Enterprise Dr.,San Bernardino,https://www.schooldigger.com/go/CA/city/San+Bernardino/search.aspx,92408,San Bernardino County,(909) 382-2211,6,12,Yes,Yes,No,No,416,18,23.10,0.91,0.02,0.01,0.00,0.92,0.00,0.01,0.04,67
601,North Point Academy,https://www.schooldigger.com/go/CA/schools/2688007794/school.aspx,Nevada Joint Union High,https://www.schooldigger.com/go/CA/district/26880/search.aspx,11761 Ridge Rd.,Grass Valley,https://www.schooldigger.com/go/CA/city/Grass+Valley/search.aspx,95945,Nevada County,(530) 477-1225,9,12,No,No,No,Yes,85,3.2,26.50,0.53,0.01,0.01,0.01,0.09,0.00,0.05,0.82,67
602,Western High,https://www.schooldigger.com/go/CA/schools/0263000192/school.aspx,Anaheim Union High,https://www.schooldigger.com/go/CA/district/02630/search.aspx,501 S. W.ern Ave.,Anaheim,https://www.schooldigger.com/go/CA/city/Anaheim/search.aspx,92804,Orange County,(714) 220-4040,9,12,Yes,No,No,No,1942,74.9,25.90,0.80,0.03,0.01,0.15,0.71,0.01,0.01,0.08,67
603,Polytechnic High,https://www.schooldigger.com/go/CA/schools/2250002751/school.aspx,Long Beach Unified,https://www.schooldigger.com/go/CA/district/22500/search.aspx,1600 Atlantic Ave.,Long Beach,https://www.schooldigger.com/go/CA/city/Long+Beach/search.aspx,90813,Los Angeles County,(562) 591-0581,9,12,No,No,Yes,No,4026,161.2,24.90,0.68,0.16,0.00,0.22,0.48,0.01,0.04,0.09,66.9
604,Bolsa Grande High,https://www.schooldigger.com/go/CA/schools/1488001827/school.aspx,Garden Grove Unified,https://www.schooldigger.com/go/CA/district/14880/search.aspx,9401 W.minster Ave.,Garden Grove,https://www.schooldigger.com/go/CA/city/Garden+Grove/search.aspx,92844,Orange County,(714) 663-6424,9,12,Yes,No,No,No,1961,76.1,25.70,0.71,0.00,0.00,0.61,0.34,0.01,0.01,0.03,66.9
605,Ukiah High,https://www.schooldigger.com/go/CA/schools/4030006665/school.aspx,Ukiah Unified,https://www.schooldigger.com/go/CA/district/40300/search.aspx,1000 Low Gap Rd.,Ukiah,https://www.schooldigger.com/go/CA/city/Ukiah/search.aspx,95482,Mendocino County,(707) 472-5750,9,12,Yes,No,No,No,1619,82.2,19.60,0.73,0.01,0.04,0.02,0.51,0.00,0.03,0.40,66.8
606,Chico High,https://www.schooldigger.com/go/CA/schools/0837000815/school.aspx,Chico Unified,https://www.schooldigger.com/go/CA/district/08370/search.aspx,901 Esplanade,Chico,https://www.schooldigger.com/go/CA/city/Chico/search.aspx,95926,Butte County,(530) 891-3026,9,12,No,No,No,No,1740,76,22.80,0.41,0.03,0.01,0.05,0.26,0.00,0.06,0.58,66.8
607,Orthopaedic Hospital,https://www.schooldigger.com/go/CA/schools/2271010861/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,300 W. 23rd St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90007,Los Angeles County,(213) 765-2088,9,12,Yes,No,Yes,No,839,36.8,22.70,0.93,0.03,0.00,0.02,0.94,0.00,0.00,0.01,66.8
608,Laytonville High,https://www.schooldigger.com/go/CA/schools/4258007900/school.aspx,Laytonville Unified,https://www.schooldigger.com/go/CA/district/42580/search.aspx,250 Branscomb Rd.,Laytonville,https://www.schooldigger.com/go/CA/city/Laytonville/search.aspx,95454,Mendocino County,(707) 984-6108,9,12,Yes,No,No,No,110,9.6,11.40,0.66,0.01,0.18,0.00,0.11,0.00,0.08,0.62,66.8
609,Valley International Preparatory High,https://www.schooldigger.com/go/CA/schools/0195314248/school.aspx,Valley International Preparatory High District,https://www.schooldigger.com/go/CA/district/01953/search.aspx,10027 Lurline Ave.,Chatsworth,https://www.schooldigger.com/go/CA/city/Chatsworth/search.aspx,91311,Los Angeles County,(818) 306-2136,9,12,(n/a),Yes,No,No,206,13.5,15.20,0.24,0.03,0.00,0.02,0.17,0.00,0.07,0.71,66.7
610,Temescal Canyon High,https://www.schooldigger.com/go/CA/schools/0002710280/school.aspx,Lake Elsinore Unified,https://www.schooldigger.com/go/CA/district/00027/search.aspx,28755 El Toro Rd.,Lake Elsinore,https://www.schooldigger.com/go/CA/city/Lake+Elsinore/search.aspx,92532,Riverside County,(951) 253-7250,9,12,No,No,No,No,2157,96.2,22.40,0.54,0.05,0.00,0.05,0.50,0.00,0.07,0.32,66.7
611,Stellar Charter,https://www.schooldigger.com/go/CA/schools/3204014118/school.aspx,Redding Elementary,https://www.schooldigger.com/go/CA/district/32040/search.aspx,5885 E. Bonnyview Rd.,Redding,https://www.schooldigger.com/go/CA/city/Redding/search.aspx,96001,Shasta County,(530) 245-7730,KG,12,No,Yes,No,No,216,11.1,19.30,0.51,0.00,0.01,0.01,0.14,0.00,0.04,0.81,66.7
612,Linda Esperanza Marquez High B LIBRA Academy,https://www.schooldigger.com/go/CA/schools/2271013203/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,6361 Cottage St.,Huntington Park,https://www.schooldigger.com/go/CA/city/Huntington+Park/search.aspx,90255,Los Angeles County,(323) 584-3800,9,12,Yes,No,No,No,703,26.7,26.20,0.94,0.00,0.00,0.00,0.98,0.00,0.00,0.01,66.7
613,Northridge Academy High,https://www.schooldigger.com/go/CA/schools/2271010862/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,9601 Zelzah Ave.,Northridge,https://www.schooldigger.com/go/CA/city/Northridge/search.aspx,91325,Los Angeles County,(818) 700-2222,9,12,Yes,No,No,No,1062,44,24.10,0.71,0.03,0.00,0.11,0.71,0.00,0.00,0.14,66.5
614,Enterprise High,https://www.schooldigger.com/go/CA/schools/3660006210/school.aspx,Shasta Union High,https://www.schooldigger.com/go/CA/district/36600/search.aspx,3411 Churn Creek Rd.,Redding,https://www.schooldigger.com/go/CA/city/Redding/search.aspx,96002,Shasta County,(530) 222-6601,9,12,Yes,No,No,No,1161,55.5,20.90,0.57,0.02,0.03,0.12,0.21,0.01,0.12,0.50,66.3
615,Edison High,https://www.schooldigger.com/go/CA/schools/1455001723/school.aspx,Fresno Unified,https://www.schooldigger.com/go/CA/district/14550/search.aspx,540 E. CA Ave.,Fresno,https://www.schooldigger.com/go/CA/city/Fresno/search.aspx,93706,Fresno County,(559) 457-2650,9,12,Yes,No,Yes,No,2597,102.5,25.30,0.79,0.13,0.00,0.11,0.65,0.00,0.01,0.10,66.2
616,Vacaville High,https://www.schooldigger.com/go/CA/schools/4059006709/school.aspx,Vacaville Unified,https://www.schooldigger.com/go/CA/district/40590/search.aspx,100 Monte Vista Ave.,Vacaville,https://www.schooldigger.com/go/CA/city/Vacaville/search.aspx,95688,Solano County,(707) 453-6011,9,12,No,No,No,No,1943,89.7,21.60,0.34,0.04,0.01,0.06,0.34,0.01,0.07,0.48,66.2
617,Willow Glen High,https://www.schooldigger.com/go/CA/schools/3459005746/school.aspx,San Jose Unified,https://www.schooldigger.com/go/CA/district/34590/search.aspx,2001 Cottle Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95125,Santa Clara County,(408) 535-6330,9,12,No,No,No,No,1737,69.7,24.90,0.37,0.04,0.01,0.09,0.49,0.00,0.04,0.34,66.1
618,San Diego International Studies,https://www.schooldigger.com/go/CA/schools/3432011140/school.aspx,San Diego Unified,https://www.schooldigger.com/go/CA/district/34320/search.aspx,1405 Park Blvd.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92101,San Diego County,(619) 525-7464,9,12,Yes,No,Yes,No,1239,43.6,28.30,0.51,0.06,0.00,0.03,0.57,0.00,0.07,0.27,66
619,Mt. Whitney High,https://www.schooldigger.com/go/CA/schools/4116006801/school.aspx,Visalia Unified,https://www.schooldigger.com/go/CA/district/41160/search.aspx,900 S. Conyer St.,Visalia,https://www.schooldigger.com/go/CA/city/Visalia/search.aspx,93277,Tulare County,(559) 730-7602,9,12,Yes,No,No,No,1684,71.6,23.50,0.58,0.02,0.01,0.05,0.66,0.00,0.03,0.22,66
620,Galt High,https://www.schooldigger.com/go/CA/schools/1482001821/school.aspx,Galt Joint Union High,https://www.schooldigger.com/go/CA/district/14820/search.aspx,145 N. Lincoln Way,Galt,https://www.schooldigger.com/go/CA/city/Galt/search.aspx,95632,Sacramento County,(209) 745-3081,9,12,Yes,No,Yes,No,1000,47.2,21.10,0.64,0.01,0.00,0.02,0.65,0.00,0.03,0.30,65.9
621,Making Waves Academy,https://www.schooldigger.com/go/CA/schools/0150212043/school.aspx,Making Waves Academy District,https://www.schooldigger.com/go/CA/district/01502/search.aspx,4123 Lakeside Dr.,Richmond,https://www.schooldigger.com/go/CA/city/Richmond/search.aspx,94806,Contra Costa County,(510) 262-1511,5,12,Yes,Yes,No,No,940,48,19.50,0.83,0.08,0.00,0.02,0.86,0.00,0.03,0.01,65.8
622,Portola Junior/Senior High,https://www.schooldigger.com/go/CA/schools/3117004825/school.aspx,Plumas Unified,https://www.schooldigger.com/go/CA/district/31170/search.aspx,155 Sixth Ave.,Portola,https://www.schooldigger.com/go/CA/city/Portola/search.aspx,96122,Plumas County,(530) 832-4284,7,12,No,No,No,No,280,12.8,21.70,0.47,0.00,0.00,0.00,0.27,0.00,0.06,0.67,65.8
623,Monterey High,https://www.schooldigger.com/go/CA/schools/2553003839/school.aspx,Monterey Peninsula Unified,https://www.schooldigger.com/go/CA/district/25530/search.aspx,101 Herrmann Dr.,Monterey,https://www.schooldigger.com/go/CA/city/Monterey/search.aspx,93940,Monterey County,(831) 392-3801,9,12,No,No,No,No,1350,57.7,23.30,0.45,0.05,0.00,0.08,0.50,0.01,0.07,0.29,65.8
624,Antelope High,https://www.schooldigger.com/go/CA/schools/3363012310/school.aspx,Roseville Joint Union High,https://www.schooldigger.com/go/CA/district/33630/search.aspx,7801 Titan Dr.,Antelope,https://www.schooldigger.com/go/CA/city/Antelope/search.aspx,95843,Sacramento County,(916) 726-1400,9,12,Yes,No,No,No,1809,74.9,24.10,0.53,0.08,0.00,0.15,0.20,0.01,0.12,0.44,65.8
625,Environmental Charter High,https://www.schooldigger.com/go/CA/schools/0207608718/school.aspx,Environmental Charter High District,https://www.schooldigger.com/go/CA/district/02076/search.aspx,16315 Grevillea Ave.,Lawndale,https://www.schooldigger.com/go/CA/city/Lawndale/search.aspx,90260,Los Angeles County,(310) 214-3400,9,12,Yes,Yes,No,No,523,29.5,17.70,0.82,0.07,0.00,0.04,0.84,0.00,0.02,0.04,65.7
626,Sierra Pacific High,https://www.schooldigger.com/go/CA/schools/1650012317/school.aspx,Hanford Joint Union High,https://www.schooldigger.com/go/CA/district/16500/search.aspx,1259 N. 13th Ave.,Hanford,https://www.schooldigger.com/go/CA/city/Hanford/search.aspx,93230,Kings County,(559) 583-5912,9,12,Yes,No,No,No,938,36.2,25.80,0.54,0.04,0.01,0.06,0.58,0.00,0.02,0.30,65.6
627,Millikan High,https://www.schooldigger.com/go/CA/schools/2250002745/school.aspx,Long Beach Unified,https://www.schooldigger.com/go/CA/district/22500/search.aspx,2800 Snowden Ave.,Long Beach,https://www.schooldigger.com/go/CA/city/Long+Beach/search.aspx,90815,Los Angeles County,(562) 425-7441,9,12,No,No,Yes,No,3529,141.9,24.80,0.40,0.09,0.00,0.08,0.45,0.01,0.06,0.31,65.6
628,Vaughn Next Century Learning Center,https://www.schooldigger.com/go/CA/schools/0189803426/school.aspx,Vaughn Next Century Learning Center District,https://www.schooldigger.com/go/CA/district/01898/search.aspx,13330 Vaughn St.,San Fernando,https://www.schooldigger.com/go/CA/city/San+Fernando/search.aspx,91340,Los Angeles County,(818) 896-7461,KG,12,Yes,Yes,No,No,3010,140.8,21.30,0.97,0.01,0.00,0.00,0.99,0.00,0.00,0.01,65.6
629,Bellflower High,https://www.schooldigger.com/go/CA/schools/0444000396/school.aspx,Bellflower Unified,https://www.schooldigger.com/go/CA/district/04440/search.aspx,15301 S. McNab Ave.,Bellflower,https://www.schooldigger.com/go/CA/city/Bellflower/search.aspx,90706,Los Angeles County,(562) 920-1801,7,12,Yes,No,No,No,2434,104.7,23.20,0.79,0.10,0.01,0.05,0.79,0.01,0.02,0.03,65.4
630,Dunsmuir High,https://www.schooldigger.com/go/CA/schools/1170001294/school.aspx,Dunsmuir Joint Union High,https://www.schooldigger.com/go/CA/district/11700/search.aspx,5805 High Sch Way,Dunsmuir,https://www.schooldigger.com/go/CA/city/Dunsmuir/search.aspx,96025,Siskiyou County,(530) 235-4835,9,12,Yes,No,No,No,61,6.5,9.30,0.69,0.02,0.02,0.00,0.18,0.00,0.15,0.64,65.2
631,Elk Grove High,https://www.schooldigger.com/go/CA/schools/1233001398/school.aspx,Elk Grove Unified,https://www.schooldigger.com/go/CA/district/12330/search.aspx,9800 Elk Grove-Florin Rd.,Elk Grove,https://www.schooldigger.com/go/CA/city/Elk+Grove/search.aspx,95624,Sacramento County,(916) 686-7741,9,12,No,No,No,No,1879,88.2,21.30,0.37,0.07,0.01,0.14,0.27,0.01,0.11,0.40,65.2
632,Centennial High,https://www.schooldigger.com/go/CA/schools/1954002041/school.aspx,Kern High,https://www.schooldigger.com/go/CA/district/19540/search.aspx,8601 Hageman Rd.,Bakersfield,https://www.schooldigger.com/go/CA/city/Bakersfield/search.aspx,93312,Kern County,(661) 588-8601,9,12,Yes,No,No,No,2022,75.9,26.60,0.32,0.03,0.01,0.06,0.31,0.00,0.02,0.56,65.2
633,Tustin High,https://www.schooldigger.com/go/CA/schools/4015006647/school.aspx,Tustin Unified,https://www.schooldigger.com/go/CA/district/40150/search.aspx,1171 El Camino Real,Tustin,https://www.schooldigger.com/go/CA/city/Tustin/search.aspx,92780,Orange County,(714) 730-7414,9,12,Yes,No,No,No,2285,88,25.90,0.67,0.02,0.00,0.07,0.78,0.01,0.02,0.11,65.1
634,Palm Desert High,https://www.schooldigger.com/go/CA/schools/1111008819/school.aspx,Desert Sands Unified,https://www.schooldigger.com/go/CA/district/11110/search.aspx,74-910 Aztec Rd.,Palm Desert,https://www.schooldigger.com/go/CA/city/Palm+Desert/search.aspx,92260,Riverside County,(760) 862-4300,9,12,No,No,No,No,2003,73.8,27.10,0.46,0.02,0.00,0.06,0.47,0.00,0.03,0.41,65.1
635,East Bay Arts High,https://www.schooldigger.com/go/CA/schools/3471011567/school.aspx,San Lorenzo Unified,https://www.schooldigger.com/go/CA/district/34710/search.aspx,20450 Royal Ave.,Hayward,https://www.schooldigger.com/go/CA/city/Hayward/search.aspx,94541,Alameda County,(510) 317-4471,9,12,No,No,No,No,214,11.1,19.20,0.64,0.13,0.01,0.08,0.63,0.03,0.04,0.09,65
636,Downtown College Prep - Alum Rock,https://www.schooldigger.com/go/CA/schools/0165612827/school.aspx,Downtown College Prep - Alum Rock District,https://www.schooldigger.com/go/CA/district/01656/search.aspx,1776 Edal Park Dr.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95122,Santa Clara County,(408) 271-1730,6,12,Yes,Yes,No,No,668,25.5,26.10,0.75,0.02,0.00,0.05,0.89,0.00,0.02,0.02,65
637,Tulare Union High,https://www.schooldigger.com/go/CA/schools/3993006619/school.aspx,Tulare Joint Union High,https://www.schooldigger.com/go/CA/district/39930/search.aspx,755 E. Tulare Ave.,Tulare,https://www.schooldigger.com/go/CA/city/Tulare/search.aspx,93274,Tulare County,(559) 686-4761,9,12,Yes,No,No,No,1732,75.1,23.00,0.70,0.04,0.01,0.01,0.73,0.00,0.01,0.20,65
638,Serrano High,https://www.schooldigger.com/go/CA/schools/3697007876/school.aspx,Snowline Joint Unified,https://www.schooldigger.com/go/CA/district/36970/search.aspx,9292 Sheep Creek Rd.,Phelan,https://www.schooldigger.com/go/CA/city/Phelan/search.aspx,92329,San Bernardino County,(760) 868-3222,9,12,No,No,No,No,2116,89.1,23.70,0.64,0.05,0.01,0.03,0.49,0.00,0.05,0.38,64.9
639,Santana High,https://www.schooldigger.com/go/CA/schools/1623002026/school.aspx,Grossmont Union High,https://www.schooldigger.com/go/CA/district/16230/search.aspx,9915 N. Magnolia Ave.,Santee,https://www.schooldigger.com/go/CA/city/Santee/search.aspx,92071,San Diego County,(619) 956-0211,9,12,Yes,No,No,No,1616,55.1,29.30,0.46,0.02,0.01,0.03,0.28,0.01,0.07,0.59,64.9
640,Herbert Hoover High,https://www.schooldigger.com/go/CA/schools/1524001933/school.aspx,Glendale Unified,https://www.schooldigger.com/go/CA/district/15240/search.aspx,651 Glenwood Rd.,Glendale,https://www.schooldigger.com/go/CA/city/Glendale/search.aspx,91202,Los Angeles County,(818) 242-6801,9,12,Yes,No,No,No,1605,69.3,23.10,0.67,0.02,0.00,0.13,0.23,0.00,0.01,0.61,64.8
641,San Jacinto Valley Academy,https://www.schooldigger.com/go/CA/schools/0239007219/school.aspx,San Jacinto Valley Academy District,https://www.schooldigger.com/go/CA/district/02390/search.aspx,480 N. San Jacinto Ave.,San Jacinto,https://www.schooldigger.com/go/CA/city/San+Jacinto/search.aspx,92583,Riverside County,(951) 654-6113,KG,12,Yes,Yes,No,No,1436,67,21.40,0.61,0.05,0.01,0.03,0.67,0.01,0.02,0.22,64.7
642,Calipatria High,https://www.schooldigger.com/go/CA/schools/0699000643/school.aspx,Calipatria Unified,https://www.schooldigger.com/go/CA/district/06990/search.aspx,601 W. Main St.,Calipatria,https://www.schooldigger.com/go/CA/city/Calipatria/search.aspx,92233,Imperial County,(760) 348-2254,9,12,Yes,No,No,No,355,20.4,17.40,0.79,0.01,0.00,0.00,0.88,0.00,0.00,0.11,64.6
643,Palm Springs High,https://www.schooldigger.com/go/CA/schools/2955004569/school.aspx,Palm Springs Unified,https://www.schooldigger.com/go/CA/district/29550/search.aspx,2401 E. Baristo Rd.,Palm Springs,https://www.schooldigger.com/go/CA/city/Palm+Springs/search.aspx,92262,Riverside County,(760) 778-0400,9,12,Yes,No,No,No,1659,73.1,22.60,0.80,0.08,0.01,0.07,0.62,0.00,0.03,0.20,64.6
644,C. K. McClatchy High,https://www.schooldigger.com/go/CA/schools/3384005226/school.aspx,Sacramento City Unified,https://www.schooldigger.com/go/CA/district/33840/search.aspx,3066 Freeport Blvd.,Sacramento,https://www.schooldigger.com/go/CA/city/Sacramento/search.aspx,95818,Sacramento County,(916) 395-5050,9,12,Yes,No,No,No,2375,90.4,26.20,0.59,0.09,0.01,0.17,0.43,0.02,0.06,0.22,64.6
645,Charter Community School Home Study Academy,https://www.schooldigger.com/go/CA/schools/9100601981/school.aspx,El Dorado County Office of Education,https://www.schooldigger.com/go/CA/district/91006/search.aspx,6767 Green Valley Rd.,Placerville,https://www.schooldigger.com/go/CA/city/Placerville/search.aspx,95667,El Dorado County,(530) 295-2271,KG,12,Yes,Yes,No,No,479,24.2,19.70,0.30,0.02,0.02,0.01,0.15,0.00,0.08,0.73,64.6
646,Moorpark High,https://www.schooldigger.com/go/CA/schools/2569007784/school.aspx,Moorpark Unified,https://www.schooldigger.com/go/CA/district/25690/search.aspx,4500 Tierra Rejada Rd.,Moorpark,https://www.schooldigger.com/go/CA/city/Moorpark/search.aspx,93021,Ventura County,(805) 378-6305,9,12,No,No,No,No,1908,79.5,23.90,0.30,0.01,0.00,0.07,0.47,0.00,0.05,0.40,64.5
647,River Oaks Academy,https://www.schooldigger.com/go/CA/schools/0190812801/school.aspx,River Oaks Academy District,https://www.schooldigger.com/go/CA/district/01908/search.aspx,920 Hampshire Rd. Ste. X,Westlake Village,https://www.schooldigger.com/go/CA/city/Westlake+Village/search.aspx,91361,Ventura County,(805) 777-7999,KG,12,(n/a),Yes,No,No,285,12.4,22.80,0.25,0.00,0.00,0.02,0.28,0.00,0.07,0.63,64.5
648,River Valley High,https://www.schooldigger.com/go/CA/schools/4347011520/school.aspx,Yuba City Unified,https://www.schooldigger.com/go/CA/district/43470/search.aspx,801 El Margarita Rd.,Yuba City,https://www.schooldigger.com/go/CA/city/Yuba+City/search.aspx,95993,Sutter County,(530) 822-2500,9,12,Yes,No,No,No,1872,88.5,21.10,0.68,0.02,0.00,0.33,0.39,0.00,0.05,0.21,64.4
649,Santiago High,https://www.schooldigger.com/go/CA/schools/1488001878/school.aspx,Garden Grove Unified,https://www.schooldigger.com/go/CA/district/14880/search.aspx,12342 Trask Ave.,Garden Grove,https://www.schooldigger.com/go/CA/city/Garden+Grove/search.aspx,92843,Orange County,(714) 663-6215,9,12,Yes,No,No,No,2020,86.3,23.30,0.80,0.00,0.00,0.14,0.83,0.01,0.01,0.02,64.3
650,Phillip J Patino School of Entrepreneurship,https://www.schooldigger.com/go/CA/schools/1455013893/school.aspx,Fresno Unified,https://www.schooldigger.com/go/CA/district/14550/search.aspx,2000 E. Cambridge Ave.,Fresno,https://www.schooldigger.com/go/CA/city/Fresno/search.aspx,93703,Fresno County,(559) 248-7360,9,12,Yes,No,Yes,No,295,13,22.60,0.81,0.07,0.00,0.06,0.64,0.01,0.01,0.20,64.3
651,Golden Eagle Charter,https://www.schooldigger.com/go/CA/schools/0203912203/school.aspx,Golden Eagle Charter District,https://www.schooldigger.com/go/CA/district/02039/search.aspx,2405 S. Mount Shasta Blvd.,Mount Shasta,https://www.schooldigger.com/go/CA/city/Mount+Shasta/search.aspx,96067,Siskiyou County,(530) 926-5800,KG,12,Yes,Yes,No,No,509,33.5,15.10,0.69,0.01,0.04,0.00,0.17,0.00,0.10,0.69,64.3
652,Whittier High,https://www.schooldigger.com/go/CA/schools/4248006955/school.aspx,Whittier Union High,https://www.schooldigger.com/go/CA/district/42480/search.aspx,12417 E. Philadelphia St.,Whittier,https://www.schooldigger.com/go/CA/city/Whittier/search.aspx,90601,Los Angeles County,(562) 698-8121,9,12,Yes,No,No,No,1876,75.8,24.70,0.77,0.01,0.00,0.01,0.93,0.00,0.01,0.04,64.2
653,Rosemont High,https://www.schooldigger.com/go/CA/schools/3384011191/school.aspx,Sacramento City Unified,https://www.schooldigger.com/go/CA/district/33840/search.aspx,9594 Kiefer Blvd.,Sacramento,https://www.schooldigger.com/go/CA/city/Sacramento/search.aspx,95827,Sacramento County,(916) 395-5130,9,12,Yes,No,No,No,1311,57.5,22.70,0.67,0.18,0.01,0.13,0.33,0.02,0.07,0.28,64
654,Wonderful College Prep Academy,https://www.schooldigger.com/go/CA/schools/0231512450/school.aspx,Wonderful College Prep Academy District,https://www.schooldigger.com/go/CA/district/02315/search.aspx,2070 Veneto St.,Delano,https://www.schooldigger.com/go/CA/city/Delano/search.aspx,93215,Kern County,(661) 721-2887,KG,12,Yes,Yes,No,No,1535,73,21.00,0.81,0.01,0.00,0.03,0.94,0.00,0.01,0.01,64
