School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
La Vernia High School,https://www.schooldigger.com/go/TX/schools/2631002968/school.aspx,La Vernia Independent School District,https://www.schooldigger.com/go/TX/district/26310/search.aspx,La Vernia,https://www.schooldigger.com/go/TX/city/La+Vernia/search.aspx,78121,Wilson,(830) 779-6630,9,12,No,No,No,No,1015,61,16.6,0.19,0.01,0,0,0.26,0,0.02,0.7,67.1
Chisholm Trail High School,https://www.schooldigger.com/go/TX/schools/1770012760/school.aspx,Eagle Mt-Saginaw Independent School District,https://www.schooldigger.com/go/TX/district/17700/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76179,Hunt,(817) 232-7112,9,12,Yes,No,No,Yes,1903,114,16.6,0.47,0.13,0.01,0.03,0.4,0,0.03,0.41,67.1
Clear Creek High School,https://www.schooldigger.com/go/TX/schools/1428000903/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,League City,https://www.schooldigger.com/go/TX/city/League+City/search.aspx,77573,Galveston,(281) 284-1700,9,12,No,No,No,Yes,2287,146,15.6,0.23,0.12,0,0.04,0.27,0,0.03,0.54,67.1
Whitehouse High School,https://www.schooldigger.com/go/TX/schools/4560005183/school.aspx,Whitehouse Independent School District,https://www.schooldigger.com/go/TX/district/45600/search.aspx,Whitehouse,https://www.schooldigger.com/go/TX/city/Whitehouse/search.aspx,75791,Smith,(903) 839-5551,9,12,No,No,No,No,1467,92,15.9,0.31,0.12,0.01,0.04,0.11,0,0.03,0.7,67.1
Brookeland High School,https://www.schooldigger.com/go/TX/schools/1152000625/school.aspx,Brookeland Independent School District,https://www.schooldigger.com/go/TX/district/11520/search.aspx,Brookeland,https://www.schooldigger.com/go/TX/city/Brookeland/search.aspx,75931,Sabine,(409) 698-2413,6,12,Yes,No,No,No,214,24,8.9,0.58,0.04,0,0,0.04,0,0.01,0.91,66.9
Idea College Preparatory Mission,https://www.schooldigger.com/go/TX/schools/0021112150/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Mission,https://www.schooldigger.com/go/TX/city/Mission/search.aspx,78572,Hidalgo,(956) 583-8315,6,12,Yes,Yes,No,No,778,46,16.9,0.92,0.01,0,0,0.99,0,0,0.01,66.9
Lumberton High School,https://www.schooldigger.com/go/TX/schools/1353000848/school.aspx,Lumberton Independent School District,https://www.schooldigger.com/go/TX/district/13530/search.aspx,Lumberton,https://www.schooldigger.com/go/TX/city/Lumberton/search.aspx,77657,Hardin,(409) 923-7890,9,12,No,No,No,Yes,1149,73,15.7,0.2,0,0.01,0.01,0.08,0,0.01,0.89,66.9
Taft High School,https://www.schooldigger.com/go/TX/schools/3312006148/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78253,Bexar,(210) 397-6000,9,12,Yes,No,Yes,Yes,2901,175,16.5,0.42,0.08,0,0.02,0.66,0,0.03,0.2,66.9
Flour Bluff High School,https://www.schooldigger.com/go/TX/schools/1938001797/school.aspx,Flour Bluff Independent School District,https://www.schooldigger.com/go/TX/district/19380/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78418,Nueces,(361) 694-9100,9,12,No,No,No,Yes,1974,123,16,0.29,0.04,0,0.02,0.35,0,0.06,0.53,66.7
Lago Vista High School,https://www.schooldigger.com/go/TX/schools/2640002973/school.aspx,Lago Vista Independent School District,https://www.schooldigger.com/go/TX/district/26400/search.aspx,Lago Vista,https://www.schooldigger.com/go/TX/city/Lago+Vista/search.aspx,78645,Travis,(512) 267-8300,9,12,No,No,No,No,442,30,14.7,0.24,0.02,0.01,0.01,0.21,0,0.02,0.73,66.7
Goldthwaite High School,https://www.schooldigger.com/go/TX/schools/2100002094/school.aspx,Goldthwaite Independent School District,https://www.schooldigger.com/go/TX/district/21000/search.aspx,Goldthwaite,https://www.schooldigger.com/go/TX/city/Goldthwaite/search.aspx,76844,Mills,(325) 648-3081,9,12,Yes,No,No,Yes,178,21,8.4,0.4,0.01,0,0,0.27,0,0,0.73,66.6
Pottsboro High School,https://www.schooldigger.com/go/TX/schools/3558004036/school.aspx,Pottsboro Independent School District,https://www.schooldigger.com/go/TX/district/35580/search.aspx,Pottsboro,https://www.schooldigger.com/go/TX/city/Pottsboro/search.aspx,75076,Grayson,(903) 771-0085,9,12,No,No,No,Yes,430,31,13.8,0.32,0.01,0.03,0.01,0.07,0,0.03,0.86,66.5
A & M Cons High School,https://www.schooldigger.com/go/TX/schools/0735000001/school.aspx,College Station Independent School District,https://www.schooldigger.com/go/TX/district/07350/search.aspx,College Station,https://www.schooldigger.com/go/TX/city/College+Station/search.aspx,77840,Brazos,(979) 764-5500,9,12,No,No,No,No,1747,137,12.7,0.33,0.14,0,0.09,0.22,0,0.04,0.51,66.5
Windthorst High School,https://www.schooldigger.com/go/TX/schools/4608005265/school.aspx,Windthorst Independent School District,https://www.schooldigger.com/go/TX/district/46080/search.aspx,Windthorst,https://www.schooldigger.com/go/TX/city/Windthorst/search.aspx,76389,Archer,(940) 423-6680,9,12,Yes,No,No,No,170,14,12.1,0.32,0,0.01,0.01,0.24,0,0.01,0.73,66.5
Industrial High School,https://www.schooldigger.com/go/TX/schools/2415002690/school.aspx,Industrial Independent School District,https://www.schooldigger.com/go/TX/district/24150/search.aspx,Vanderbilt,https://www.schooldigger.com/go/TX/city/Vanderbilt/search.aspx,77991,Jackson,(361) 284-3226,9,12,No,No,No,Yes,371,30,12.3,0.26,0.01,0.01,0,0.27,0,0,0.71,66.4
Balmorhea School,https://www.schooldigger.com/go/TX/schools/0933000392/school.aspx,Balmorhea Independent School District,https://www.schooldigger.com/go/TX/district/09330/search.aspx,Balmorhea,https://www.schooldigger.com/go/TX/city/Balmorhea/search.aspx,79718,Reeves,(432) 375-2223,PK,12,Yes,No,No,Yes,161,18,8.9,0.85,0,0,0,0.87,0,0,0.13,66.4
Northwest High School,https://www.schooldigger.com/go/TX/schools/3318003732/school.aspx,Northwest Independent School District,https://www.schooldigger.com/go/TX/district/33180/search.aspx,Justin,https://www.schooldigger.com/go/TX/city/Justin/search.aspx,76247,Denton,(817) 215-0200,9,12,Yes,No,No,No,2793,170,16.4,0.2,0.06,0.01,0.02,0.21,0,0.02,0.68,66.4
Redwater High School,https://www.schooldigger.com/go/TX/schools/3675004109/school.aspx,Redwater Independent School District,https://www.schooldigger.com/go/TX/district/36750/search.aspx,Redwater,https://www.schooldigger.com/go/TX/city/Redwater/search.aspx,75573,Bowie,(903) 671-3421,9,12,Yes,No,No,Yes,343,33,10.3,0.33,0.04,0.01,0,0.04,0,0.01,0.91,66.3
Happy High School,https://www.schooldigger.com/go/TX/schools/2235002243/school.aspx,Happy Independent School District,https://www.schooldigger.com/go/TX/district/22350/search.aspx,Happy,https://www.schooldigger.com/go/TX/city/Happy/search.aspx,79042,Swisher,(806) 558-5311,7,12,Yes,No,No,Yes,119,16,7.4,0.41,0.02,0,0,0.18,0,0.03,0.78,66.3
Lexington High School,https://www.schooldigger.com/go/TX/schools/2733003076/school.aspx,Lexington Independent School District,https://www.schooldigger.com/go/TX/district/27330/search.aspx,Lexington,https://www.schooldigger.com/go/TX/city/Lexington/search.aspx,78947,Lee,(979) 773-2255,9,12,Yes,No,No,Yes,274,27,10.1,0.44,0.08,0,0,0.12,0,0.03,0.77,66.2
Archer City High School,https://www.schooldigger.com/go/TX/schools/0861000229/school.aspx,Archer City Independent School District,https://www.schooldigger.com/go/TX/district/08610/search.aspx,Archer City,https://www.schooldigger.com/go/TX/city/Archer+City/search.aspx,76351,Archer,(940) 574-4713,7,12,No,No,No,No,233,27,8.6,0.27,0.01,0,0,0.07,0,0.05,0.87,66.2
Krum High School,https://www.schooldigger.com/go/TX/schools/2598002925/school.aspx,Krum Independent School District,https://www.schooldigger.com/go/TX/district/25980/search.aspx,Krum,https://www.schooldigger.com/go/TX/city/Krum/search.aspx,76249,Denton,(940) 482-6000,9,12,No,No,No,Yes,596,43,13.8,0.27,0.02,0.01,0.01,0.21,0,0.02,0.75,66.1
Thrall High School,https://www.schooldigger.com/go/TX/schools/4266004872/school.aspx,Thrall Independent School District,https://www.schooldigger.com/go/TX/district/42660/search.aspx,Thrall,https://www.schooldigger.com/go/TX/city/Thrall/search.aspx,76578,Williamson,(512) 898-5193,9,12,No,No,No,No,209,18,11.6,0.23,0.02,0.01,0,0.21,0,0.03,0.73,66.1
Davinci School For Science And The Arts,https://www.schooldigger.com/go/TX/schools/0003711452/school.aspx,Burnham Wood Charter School District,https://www.schooldigger.com/go/TX/district/00037/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79912,El Paso,(915) 584-4024,5,12,Yes,Yes,No,No,534,41,13,0.52,0.03,0,0.02,0.86,0,0.01,0.08,66.1
Jersey Village High School,https://www.schooldigger.com/go/TX/schools/1611001186/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77040,Harris,(713) 896-3400,9,12,Yes,No,No,Yes,3461,205,16.8,0.51,0.12,0.01,0.11,0.55,0,0.01,0.2,66.1
Bosqueville High School,https://www.schooldigger.com/go/TX/schools/1091006073/school.aspx,Bosqueville Independent School District,https://www.schooldigger.com/go/TX/district/10910/search.aspx,Waco,https://www.schooldigger.com/go/TX/city/Waco/search.aspx,76708,McLennan,(254) 757-3113,9,12,Yes,No,No,Yes,192,18,10.6,0.35,0.09,0.01,0,0.22,0.01,0.01,0.67,66.1
Mayde Creek High School,https://www.schooldigger.com/go/TX/schools/2517006001/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77084,Harris,(281) 237-3000,9,12,Yes,No,No,Yes,2755,159,17.3,0.58,0.17,0,0.06,0.53,0,0.02,0.21,66.1
Bullard High School,https://www.schooldigger.com/go/TX/schools/1206000703/school.aspx,Bullard Independent School District,https://www.schooldigger.com/go/TX/district/12060/search.aspx,Bullard,https://www.schooldigger.com/go/TX/city/Bullard/search.aspx,75757,Cherokee,(903) 894-3272,9,12,No,No,No,Yes,721,62,11.6,0.3,0.05,0.01,0,0.06,0,0.01,0.86,66.1
Rayburn High School,https://www.schooldigger.com/go/TX/schools/3864004292/school.aspx,Sam Rayburn Independent School District,https://www.schooldigger.com/go/TX/district/38640/search.aspx,Ivanhoe,https://www.schooldigger.com/go/TX/city/Ivanhoe/search.aspx,75447,Fannin,(903) 664-2165,7,12,Yes,No,No,Yes,168,20,8.4,0.29,0.01,0.02,0,0.1,0,0.02,0.85,66
Groveton J H-High School,https://www.schooldigger.com/go/TX/schools/2190002208/school.aspx,Groveton Independent School District,https://www.schooldigger.com/go/TX/district/21900/search.aspx,Groveton,https://www.schooldigger.com/go/TX/city/Groveton/search.aspx,75845,Trinity,(409) 642-1128,6,12,Yes,No,No,No,366,38,9.6,0.51,0.06,0,0,0.1,0,0.05,0.79,65.9
Harper High School,https://www.schooldigger.com/go/TX/schools/2259002296/school.aspx,Harper Independent School District,https://www.schooldigger.com/go/TX/district/22590/search.aspx,Harper,https://www.schooldigger.com/go/TX/city/Harper/search.aspx,78631,Gillespie,(830) 864-4044,9,12,Yes,No,No,Yes,213,21,10.1,0.26,0.01,0.01,0,0.12,0.01,0.01,0.85,65.9
Law Enfcmt-Crim Just High School,https://www.schooldigger.com/go/TX/schools/2364005745/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77007,Harris,(713) 867-5100,9,12,Yes,No,Yes,No,438,33,13.2,0.84,0.16,0,0.01,0.79,0,0,0.03,65.9
Sharyland High School,https://www.schooldigger.com/go/TX/schools/3993004529/school.aspx,Sharyland Independent School District,https://www.schooldigger.com/go/TX/district/39930/search.aspx,Mission,https://www.schooldigger.com/go/TX/city/Mission/search.aspx,78572,Hidalgo,(956) 580-5300,9,12,Yes,No,No,Yes,1789,106,16.8,0.5,0.01,0,0.02,0.92,0,0,0.05,65.8
The Colony High School,https://www.schooldigger.com/go/TX/schools/2730006291/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,The Colony,https://www.schooldigger.com/go/TX/city/The+Colony/search.aspx,75056,Denton,(469) 713-5178,9,12,Yes,No,No,No,1987,139,14.2,0.36,0.11,0.01,0.06,0.32,0,0.04,0.48,65.8
Clarendon High School,https://www.schooldigger.com/go/TX/schools/1416000893/school.aspx,Clarendon Independent School District,https://www.schooldigger.com/go/TX/district/14160/search.aspx,Clarendon,https://www.schooldigger.com/go/TX/city/Clarendon/search.aspx,79226,Donley,(806) 874-2181,9,12,Yes,No,No,Yes,135,19,7.1,0.42,0.08,0,0.01,0.13,0.01,0.04,0.73,65.8
Deer Park High School,https://www.schooldigger.com/go/TX/schools/1653001415/school.aspx,Deer Park Independent School District,https://www.schooldigger.com/go/TX/district/16530/search.aspx,Deer Park,https://www.schooldigger.com/go/TX/city/Deer+Park/search.aspx,77536,Harris,(832) 668-7200,9,12,Yes,No,No,Yes,4103,258,15.9,0.37,0.02,0,0.01,0.5,0,0.02,0.45,65.7
Harmony Science Academy North Austin,https://www.schooldigger.com/go/TX/schools/0024112260/school.aspx,Harmony Science Academy (Austin),https://www.schooldigger.com/go/TX/district/00241/search.aspx,Pflugerville,https://www.schooldigger.com/go/TX/city/Pflugerville/search.aspx,78660,Travis,(512) 251-5000,8,12,Yes,Yes,No,No,657,48,13.6,0.54,0.1,0,0.14,0.55,0,0.03,0.19,65.6
Palmer High School,https://www.schooldigger.com/go/TX/schools/3411003794/school.aspx,Palmer Independent School District,https://www.schooldigger.com/go/TX/district/34110/search.aspx,Palmer,https://www.schooldigger.com/go/TX/city/Palmer/search.aspx,75152,Ellis,(972) 449-3487,9,12,Yes,No,No,Yes,316,29,10.8,0.42,0.01,0.01,0,0.37,0,0.01,0.6,65.6
Cross Roads High School,https://www.schooldigger.com/go/TX/schools/1584005434/school.aspx,Cross Roads Independent School District,https://www.schooldigger.com/go/TX/district/15840/search.aspx,Malakoff,https://www.schooldigger.com/go/TX/city/Malakoff/search.aspx,75148,Henderson,(903) 489-1275,9,12,Yes,No,No,No,183,18,10.1,0.37,0.01,0,0,0.09,0,0.01,0.9,65.5
Hartley School,https://www.schooldigger.com/go/TX/schools/2268002302/school.aspx,Hartley Independent School District,https://www.schooldigger.com/go/TX/district/22680/search.aspx,Hartley,https://www.schooldigger.com/go/TX/city/Hartley/search.aspx,79044,Hartley,(806) 365-4458,PK,12,Yes,No,No,No,223,20,11.1,0.76,0,0,0,0.64,0,0,0.35,65.4
Weimar High School,https://www.schooldigger.com/go/TX/schools/4482005106/school.aspx,Weimar Independent School District,https://www.schooldigger.com/go/TX/district/44820/search.aspx,Weimar,https://www.schooldigger.com/go/TX/city/Weimar/search.aspx,78962,Colorado,(979) 725-9504,8,12,No,No,No,No,202,19,10.6,0.39,0.12,0,0,0.33,0,0.03,0.53,65.2
Beckville Junior-Senior High School,https://www.schooldigger.com/go/TX/schools/0969000437/school.aspx,Beckville Independent School District,https://www.schooldigger.com/go/TX/district/09690/search.aspx,Beckville,https://www.schooldigger.com/go/TX/city/Beckville/search.aspx,75631,Panola,(903) 678-3591,6,12,Yes,No,No,No,363,38,9.5,0.31,0.06,0,0.01,0.09,0,0.02,0.82,65.2
Harleton High School,https://www.schooldigger.com/go/TX/schools/2250002274/school.aspx,Harleton Independent School District,https://www.schooldigger.com/go/TX/district/22500/search.aspx,Harleton,https://www.schooldigger.com/go/TX/city/Harleton/search.aspx,75651,Harrison,(903) 777-2711,9,12,No,No,No,No,233,21,11,0.23,0.02,0,0,0.03,0,0.03,0.91,65.2
Wolfe City High School,https://www.schooldigger.com/go/TX/schools/4635005280/school.aspx,Wolfe City Independent School District,https://www.schooldigger.com/go/TX/district/46350/search.aspx,Wolfe City,https://www.schooldigger.com/go/TX/city/Wolfe+City/search.aspx,75496,Hunt,(903) 496-2891,9,12,Yes,No,No,Yes,168,16,10.5,0.49,0.05,0.01,0.01,0.1,0,0.01,0.82,65.2
Navarro High School,https://www.schooldigger.com/go/TX/schools/3216003568/school.aspx,Navarro Independent School District,https://www.schooldigger.com/go/TX/district/32160/search.aspx,Seguin,https://www.schooldigger.com/go/TX/city/Seguin/search.aspx,78155,Guadalupe,(830) 372-1931,9,12,No,No,No,Yes,531,36,14.7,0.3,0.01,0,0.01,0.39,0,0.01,0.58,65.1
Richland High School,https://www.schooldigger.com/go/TX/schools/1023000495/school.aspx,Birdville Independent School District,https://www.schooldigger.com/go/TX/district/10230/search.aspx,North Richland Hills,https://www.schooldigger.com/go/TX/city/North+Richland+Hills/search.aspx,76180,Tarrant,(817) 547-7000,9,12,Yes,No,No,No,2137,136,15.7,0.39,0.1,0.01,0.04,0.25,0,0.03,0.57,65
Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/schools/0029211466/school.aspx,Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/district/00292/search.aspx,Waco,https://www.schooldigger.com/go/TX/city/Waco/search.aspx,76710,McLennan,(254) 751-7878,KG,12,Yes,Yes,No,No,764,56,13.6,0.8,0.08,0,0.01,0.72,0,0.01,0.18,64.9
Slocum High School,https://www.schooldigger.com/go/TX/schools/4050004585/school.aspx,Slocum Independent School District,https://www.schooldigger.com/go/TX/district/40500/search.aspx,Elkhart,https://www.schooldigger.com/go/TX/city/Elkhart/search.aspx,75839,Anderson,(903) 478-3624,6,12,Yes,No,No,Yes,199,19,10.4,0.4,0.01,0.02,0,0.06,0,0.03,0.89,64.8
Abbott School,https://www.schooldigger.com/go/TX/schools/0738000006/school.aspx,Abbott Independent School District,https://www.schooldigger.com/go/TX/district/07380/search.aspx,Abbott,https://www.schooldigger.com/go/TX/city/Abbott/search.aspx,76621,Hill,(254) 582-3011,PK,12,Yes,No,No,No,264,24,11,0.22,0,0,0,0.1,0,0.02,0.88,64.6
Idea College Preparatory San Juan,https://www.schooldigger.com/go/TX/schools/0021112040/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,San Juan,https://www.schooldigger.com/go/TX/city/San+Juan/search.aspx,78589,Hidalgo,(956) 588-4021,6,12,Yes,Yes,No,Yes,750,46,16.3,0.91,0,0,0.01,0.97,0,0,0.02,64.5
Seymour High School,https://www.schooldigger.com/go/TX/schools/3978004520/school.aspx,Seymour Independent School District,https://www.schooldigger.com/go/TX/district/39780/search.aspx,Seymour,https://www.schooldigger.com/go/TX/city/Seymour/search.aspx,76380,Baylor,(940) 889-2947,9,12,Yes,No,No,Yes,161,19,8.4,0.44,0.05,0.01,0,0.2,0,0.03,0.71,64.5
Aspermont High School,https://www.schooldigger.com/go/TX/schools/0000600275/school.aspx,Aspermont Independent School District,https://www.schooldigger.com/go/TX/district/00006/search.aspx,Aspermont,https://www.schooldigger.com/go/TX/city/Aspermont/search.aspx,79502,Stonewall,(940) 989-2707,6,12,Yes,No,No,Yes,120,14,8.5,0.4,0.04,0,0.01,0.3,0,0.01,0.64,64.4
Eagle Pass High School,https://www.schooldigger.com/go/TX/schools/1773001538/school.aspx,Eagle Pass Independent School District,https://www.schooldigger.com/go/TX/district/17730/search.aspx,Eagle Pass,https://www.schooldigger.com/go/TX/city/Eagle+Pass/search.aspx,78852,Maverick,(830) 773-2381,9,12,Yes,No,No,Yes,2266,130,17.4,0.74,0,0,0,0.98,0,0,0.01,64.3
Veterans Memorial High School,https://www.schooldigger.com/go/TX/schools/1168012029/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 574-5600,9,12,Yes,No,No,No,2182,138,15.8,0.94,0,0,0.01,0.96,0,0,0.03,64.3
Hico High School,https://www.schooldigger.com/go/TX/schools/2307002345/school.aspx,Hico Independent School District,https://www.schooldigger.com/go/TX/district/23070/search.aspx,Hico,https://www.schooldigger.com/go/TX/city/Hico/search.aspx,76457,Hamilton,(254) 796-2184,7,12,Yes,No,No,No,258,27,9.5,0.55,0,0,0,0.24,0,0,0.75,64.1
Texas Virtual Academy,https://www.schooldigger.com/go/TX/schools/0016309583/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Lewisville,https://www.schooldigger.com/go/TX/city/Lewisville/search.aspx,75057,Denton,(888) 644-4789,2,12,Yes,Yes,No,Yes,6477,,,0.44,0.11,0.01,0.03,0.29,0,0.04,0.52,64.1
Round Top-Carmine High School,https://www.schooldigger.com/go/TX/schools/3810004259/school.aspx,Round Top-Carmine Independent School District,https://www.schooldigger.com/go/TX/district/38100/search.aspx,Carmine,https://www.schooldigger.com/go/TX/city/Carmine/search.aspx,78932,Fayette,(979) 278-3252,7,12,No,No,No,No,123,13,9.4,0.24,0.03,0.01,0,0.14,0,0.06,0.76,64
Priddy School,https://www.schooldigger.com/go/TX/schools/3582004057/school.aspx,Priddy Independent School District,https://www.schooldigger.com/go/TX/district/35820/search.aspx,Priddy,https://www.schooldigger.com/go/TX/city/Priddy/search.aspx,76870,Mills,(325) 966-3323,PK,12,Yes,No,No,No,116,14,8.2,0.7,0,0,0,0.29,0,0,0.71,63.9
Midlothian High School,https://www.schooldigger.com/go/TX/schools/3060003458/school.aspx,Midlothian Independent School District,https://www.schooldigger.com/go/TX/district/30600/search.aspx,Midlothian,https://www.schooldigger.com/go/TX/city/Midlothian/search.aspx,76065,Ellis,(972) 775-8226,9,12,No,No,No,Yes,2390,141,16.9,0.16,0.06,0,0.02,0.21,0,0.02,0.69,63.9
Kipp Austin Collegiate,https://www.schooldigger.com/go/TX/schools/0026411782/school.aspx,Kipp Austin Public Schools Inc,https://www.schooldigger.com/go/TX/district/00264/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78724,Travis,(512) 637-6870,9,12,Yes,Yes,No,No,566,42,13.4,0.93,0.02,0,0,0.97,0,0,0,63.9
Newman International Academy Of Arlington,https://www.schooldigger.com/go/TX/schools/0142112625/school.aspx,Newman International Academy Of Arlington,https://www.schooldigger.com/go/TX/district/01421/search.aspx,Arlington,https://www.schooldigger.com/go/TX/city/Arlington/search.aspx,76013,Tarrant,(817) 459-8555,PK,12,Yes,Yes,No,Yes,864,68,12.7,0.45,0.33,0,0.06,0.23,0,0.04,0.35,63.8
Lamar High School,https://www.schooldigger.com/go/TX/schools/2364002512/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77098,Harris,(713) 522-5960,9,12,Yes,No,Yes,Yes,3288,141,23.3,0.48,0.31,0,0.04,0.37,0,0.02,0.26,63.8
Elysian Fields High School,https://www.schooldigger.com/go/TX/schools/1848001734/school.aspx,Elysian Fields Independent School District,https://www.schooldigger.com/go/TX/district/18480/search.aspx,Elysian Fields,https://www.schooldigger.com/go/TX/city/Elysian+Fields/search.aspx,75642,Harrison,(903) 633-2420,9,12,Yes,No,No,Yes,319,30,10.6,0.44,0.14,0,0,0.03,0,0,0.83,63.8
Bronte High School,https://www.schooldigger.com/go/TX/schools/1149000623/school.aspx,Bronte Independent School District,https://www.schooldigger.com/go/TX/district/11490/search.aspx,Bronte,https://www.schooldigger.com/go/TX/city/Bronte/search.aspx,76933,Coke,(325) 473-2521,7,12,Yes,No,No,No,147,16,9.1,0.4,0,0,0.01,0.32,0,0,0.67,63.8
Eula High School,https://www.schooldigger.com/go/TX/schools/1869001749/school.aspx,Eula Independent School District,https://www.schooldigger.com/go/TX/district/18690/search.aspx,Clyde,https://www.schooldigger.com/go/TX/city/Clyde/search.aspx,79510,Callahan,(325) 529-3605,9,12,Yes,No,No,No,111,14,7.9,0.48,0,0.01,0.01,0.12,0,0.05,0.81,63.7
Tarkington High School,https://www.schooldigger.com/go/TX/schools/4221004802/school.aspx,Tarkington Independent School District,https://www.schooldigger.com/go/TX/district/42210/search.aspx,Cleveland,https://www.schooldigger.com/go/TX/city/Cleveland/search.aspx,77327,Liberty,(281) 592-7739,9,12,Yes,No,No,Yes,542,46,11.7,0.4,0.01,0.01,0,0.09,0,0.01,0.9,63.6
McLean School,https://www.schooldigger.com/go/TX/schools/2988003364/school.aspx,McLean Independent School District,https://www.schooldigger.com/go/TX/district/29880/search.aspx,McLean,https://www.schooldigger.com/go/TX/city/McLean/search.aspx,79057,Gray,(806) 779-2301,PK,12,Yes,No,No,Yes,207,25,8.2,0.44,0.01,0.01,0,0.18,0,0.01,0.79,63.5
Huckabay School,https://www.schooldigger.com/go/TX/schools/2376002629/school.aspx,Huckabay Independent School District,https://www.schooldigger.com/go/TX/district/23760/search.aspx,Stephenville,https://www.schooldigger.com/go/TX/city/Stephenville/search.aspx,76401,Erath,(254) 968-5274,KG,12,Yes,No,No,Yes,189,19,9.9,0.39,0,0.01,0.01,0.18,0,0.01,0.79,63.5
Dublin High School,https://www.schooldigger.com/go/TX/schools/1758001512/school.aspx,Dublin Independent School District,https://www.schooldigger.com/go/TX/district/17580/search.aspx,Dublin,https://www.schooldigger.com/go/TX/city/Dublin/search.aspx,76446,Erath,(254) 445-0362,7,12,Yes,No,No,No,464,38,12.2,0.67,0.02,0,0,0.59,0,0.01,0.38,63.4
Avery High School,https://www.schooldigger.com/go/TX/schools/0906000376/school.aspx,Avery Independent School District,https://www.schooldigger.com/go/TX/district/09060/search.aspx,Avery,https://www.schooldigger.com/go/TX/city/Avery/search.aspx,75554,Red River,(903) 684-3431,9,12,Yes,No,No,No,120,13,9.2,0.5,0.01,0.02,0,0.08,0,0.03,0.87,63.4
Bob Hope School,https://www.schooldigger.com/go/TX/schools/0141012450/school.aspx,Bob Hope School,https://www.schooldigger.com/go/TX/district/01410/search.aspx,Port Arthur,https://www.schooldigger.com/go/TX/city/Port+Arthur/search.aspx,77642,Jefferson,(409) 983-3244,6,12,Yes,Yes,No,Yes,447,31,14.4,0.89,0.03,0,0,0.94,0,0.01,0.02,63.4
MacArthur High School,https://www.schooldigger.com/go/TX/schools/3294003646/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78217,Bexar,(210) 356-7600,9,12,Yes,No,Yes,No,2544,153,16.6,0.46,0.09,0,0.03,0.55,0,0.03,0.29,63.3
Los Fresnos High School,https://www.schooldigger.com/go/TX/schools/2829003163/school.aspx,Los Fresnos Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/28290/search.aspx,Los Fresnos,https://www.schooldigger.com/go/TX/city/Los+Fresnos/search.aspx,78566,Cameron,(956) 254-5300,9,12,Yes,No,No,Yes,2188,134,16.3,0.81,0,0,0,0.97,0,0,0.03,63.2
Lipan High School,https://www.schooldigger.com/go/TX/schools/2763003104/school.aspx,Lipan Independent School District,https://www.schooldigger.com/go/TX/district/27630/search.aspx,Lipan,https://www.schooldigger.com/go/TX/city/Lipan/search.aspx,76462,Hood,(254) 646-3366,7,12,Yes,No,No,Yes,122,13,9.3,0.48,0.01,0,0,0.11,0,0.03,0.85,63.2
